date_reported,date_occurred,time_occurred,time_reported,case_number,location,incident,university
2018-09-03,2018-09-03,22:07,22:07,18mu06638,laurel hall,psula w/alcohol/student misconduct,Monmouth University
2018-09-03,2018-09-03,23:48,23:48,18mu06640,elmwood hall,pula / student misconduct,Monmouth University
2018-09-04,2018-09-04,01:12,01:12,18mu06645,elmwood hall,pula / student misconduct,Monmouth University
2018-09-04,2018-09-04,01:31,01:31,18mu06646,mullaney hall,pula / student misconduct,Monmouth University
2018-09-05,2018-09-04,19:30,20:10,18mu06720,monmouth university,harassment,Monmouth University
2018-09-10,2018-09-08,14:30,11:10,18mu06861,monmouth university,criminal mischief,Monmouth University
2018-09-10,2018-09-10,09:50,13:15,18mu06864,redwood,burglary/theft,Monmouth University
2018-09-13,2018-09-06,05:30,16:15,18mu06969,parking lot 23,criminal mischief (to auto),Monmouth University
2018-09-13,2018-09-04,NA,19:00,18mu06974,parking lot 8,theft/lost or mislaid,Monmouth University
2018-09-14,2018-09-14,00:31,00:31,18mu06981,elmwood hall,psula w/alcohol/student misconduct,Monmouth University
2018-09-19,2020-09-02,NA,15:15,18mu07131,laurel hall,theft of leggings,Monmouth University
2018-09-19,2018-09-17,08:00,20:10,18mu07141,elmwood hall,theft of cash from wallet in drawer,Monmouth University
2018-09-20,2018-09-20,13:40,13:40,18mu07161,parking lot 11,harassment,Monmouth University
2018-09-20,2018-09-20,23:17,23:17,18mu07172,beechwood hall,psula w/alcohol/student misconduct,Monmouth University
2018-09-22,2018-09-22,21:40,21:40,18mu07227,elmwood hall,poss. of cds/paraphernalia/stud. mis.,Monmouth University
2018-09-23,2018-09-23,01:04,01:04,18mu07232,mullaney hall,pula / student misconduct,Monmouth University
2018-09-23,2018-09-23,01:29,01:29,18mu07233,hesse hall,pula / student misconduct,Monmouth University
2018-09-23,2018-09-23,01:54,01:54,18mu07235,hesse hall,pula / student misconduct,Monmouth University
2018-09-23,2018-09-23,01:54,01:54,18mu07240,hesse hall,pula / student misconduct,Monmouth University
2018-09-24,2018-06-06,09:00,11:37,18mu07270,pollack theater,theft,Monmouth University
2018-09-26,2018-09-26,17:42,18:24,18mu07329,maplewood hall,harassment,Monmouth University
2018-09-27,NA,15:45,13:30,18mu07356,facilities management,theft x 2,Monmouth University
2018-09-28,2018-09-28,00:54,00:54,18mu07372,elmwood hall,psula w/alcohol/student misconduct,Monmouth University
2018-09-29,2018-09-29,00:13,00:13,18mu07405,elmwood hall,pula w/alcohol/student misconduct,Monmouth University
2018-10-01,2018-09-30,12:39,09:24,18mu07478,email system,computer crime (hacking),Monmouth University
2018-10-01,2018-10-01,11:00,12:30,18mu07484,student center,criminal mischief,Monmouth University
2018-10-03,2018-10-03,20:38,20:38,18mu07517,elmwood hall,pssn marijuana/para (found contraband),Monmouth University
2018-10-04,2018-10-04,12:30,13:23,18mu07564,redwood hall,theft (cash),Monmouth University
2018-10-04,2018-10-04,14:35,17:40,18mu07572,boylan gym,theft,Monmouth University
2018-10-06,2018-10-06,03:08,03:08,18mu07622,laurel hall,pula w/alcohol/student misconduct,Monmouth University
2018-10-06,NA,18:00,11:05,18mu07630,elmwood hall,theft,Monmouth University
