incident,case_number,date_reported,time_reported,date_occurred,time_occurred,location,university
Vandelism,2018-0178,2018-08-22,06:25,2018-08-20,08:30,Bldg 57,University of North Florida
Sexual Violence,NA,NA,NA,NA,NA,On-Campus Housing,University of North Florida
Petit Theft,2018-0176,2018-08-21,13:36,2018-08-21,10:00,Bldg 12,University of North Florida
Fleeing/Attempt to flee with marijuana,2018-0175,2018-08-20,13:22,2018-08-20,13:22,U N F Dr @ Eco Rd,University of North Florida
Grand Theft,2018-0172,2018-08-09,10:54,2018-08-08,10:00,Bldg 42,University of North Florida
Grand Theft,2018-0170,2018-08-02,19:19,NA,NA,Bldg 12,University of North Florida
Possess Marijuana,2018-0169,2018-07-31,09:49,2018-07-31,09:49,Osprey Flats,University of North Florida
Burglary To Vehicle,2018-0167,2018-07-27,18:31,2018-07-26,21:30,Osprey Landing Lot,University of North Florida
Petit Theft,2018-0166,2018-07-27,15:38,2018-07-21,10:00,Opsrey Cove U113,University of North Florida
Petit Theft,2018-0165,2018-07-27,14:55,2018-07-27,14:55,Osprey Cove T206,University of North Florida
POSSESSION OF marijuana,2018-0163,2018-07-26,23:10,2018-07-26,23:10,Osprey Cove U204,University of North Florida
Petit Theft,2018-0162,2018-07-25,10:30,2018-07-24,14:30,Bldg 42/Rm 2010,University of North Florida
Driving While License suspended,A0Y55ZP,2018-07-23,15:50,2018-07-23,15:50,U N F Dr/Garage 38,University of North Florida
Possess Drugs and,2018-0157,2018-07-21,00:05,2018-07-21,00:05,Osprey Cove V314,University of North Florida
Possess Drugs and,2018-0156,2018-07-20,22:06,2018-07-20,22:45,Osprey Landing,University of North Florida
Grand Theft,2018-0155,2018-07-20,16:57,2018-07-20,16:00,Bldg 14 Suspended,University of North Florida
Petit Theft,2018-0154,2018-07-20,12:40,2018-07-18,15:00,Lot 9 Suspended,University of North Florida
Petit Theft,2018-0153,2018-07-20,12:12,2018-07-19,09:00,Osprey Fountains Unfounded,University of North Florida
Possession of Drugs,2018-0148,2018-07-19,00:05,2018-07-19,00:05,Osprey Landing W215 Cleared by arrest,University of North Florida
Video Voyeurism,2018-0146,2018-07-17,11:33,2018-07-17,11:33,PTDF Cleared by arrest,University of North Florida
No Proof of Insurance,A0Y5OAP,2018-07-15,17:45,2018-07-15,17:45,UNF Lot 15 Osprey Citation Issued,University of North Florida
