case_number,date_reported,time_reported,date_occurred,time_occurred,location,university,incident
19-1426,2019-11-21,00:22,2019-11-21,09:50,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Petty Theft
19-1428,2019-11-22,02:09,2019-11-21,02:00,"Parking 4, 5105 East Campus Dr, San Diego",San Diego State University,Burglary
19-1429,2019-11-22,04:07,2019-11-22,04:07,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Shoplift
19-143,2019-02-07,03:39,2019-02-07,03:39,"Professional Studies And Fine Arts, 5715 Avenue Of Arts, San Diego",San Diego State University,Nonstudnt Refuse Leav Sch
19-1431,2019-11-23,07:45,2019-11-22,07:00,"Parking 7, 5100 55TH St, San Diego",San Diego State University,Hit&run Prop Damag:locate
19-1436,2019-11-24,07:43,2019-11-24,07:43,"Parking 15, 5545 Canyon Crest Dr, San Diego",San Diego State University,DUI Alcohol DUI Alcohol/0.08 Percent
19-1438,2019-11-24,00:24,NA,NA,"Parking 10A, 5350 Remington Rd, San Diego",San Diego State University,Vandalism ($400 or less) -Misd
19-144,2019-02-07,04:15,2019-02-07,05:00,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Shoplift Petty Theft
19-1441,2019-11-25,06:01,2019-11-25,05:35,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Shoplift Possess Narcotic Cntl Sub Outside Agency Warrant
19-1442,2019-11-25,05:37,2019-11-23,02:00,"University Towers Residence Hall, 5505 Montezuma Rd, San Diego",San Diego State University,Petty Theft
19-1443,2019-11-26,00:50,NA,NA,"Parking 1, 5355 College Av, San Diego",San Diego State University,Burglary
19-145,2019-02-07,08:00,2019-02-07,07:25,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Petty Theft
19-1450,2019-11-30,02:00,2019-11-30,02:16,"Parking 7, 5100 55TH St, San Diego",San Diego State University,Poss Controlled Substance-M Poss Cntrlld Substnc Paraphernalia
19-1452,2019-12-02,01:12,2019-12-02,00:30,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Petty Theft
19-1455,2019-12-03,04:08,2019-12-03,03:35,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
19-1456,2019-12-04,06:11,2019-12-04,06:00,"Alvarado Research & Professional Ctr 1, 6475 Alvarado Rd, San Diego",San Diego State University,Vehicle Theft
19-1458,2019-12-04,04:28,2019-11-28,01:00,"Olmeca Residence Hall, 6050 Lindo Paseo Av, San Diego",San Diego State University,Burglary:second Degree Commit Mail Theft
19-1460,2019-12-05,06:56,2019-12-05,06:00,"Hepner Hall, 5405 Campanile Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
19-1466,2019-12-07,02:48,2019-12-07,05:08,"5100 College Av, San Diego",San Diego State University,DUI Alcohol DUI Alcohol/0.08 Percent
19-1469,2019-12-07,03:23,2019-12-07,03:00,"Theta Chi Fraternity, 5505 Lindo Paseo Av, San Diego",San Diego State University,Threaten Crime w/Intent to Terrorize
19-147,2019-02-07,03:53,2019-02-07,03:59,"5500 Mary Lane Dr, San Diego",San Diego State University,Urinating in Public
19-1473,2019-12-09,02:48,2019-12-09,02:43,"Big City Bagels At Music, 5310 Campanile Dr, San Diego",San Diego State University,Burglary Petty Theft
19-1474,2019-12-09,00:31,2019-12-09,00:00,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Shoplift
19-1475,2019-12-09,01:10,2019-12-09,00:50,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Shoplift
19-1476,2019-12-09,04:18,2019-12-08,02:31,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Petty Theft
19-1477,2019-12-09,04:28,2019-12-09,04:28,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
19-1480,2019-12-11,01:57,2019-12-10,01:50,"Student Services East, Centennial Walk, San Diego",San Diego State University,Petty Theft
19-1481,2019-12-11,00:33,2019-12-07,02:00,"Sportsdeck, 5100 55TH St, San Diego",San Diego State University,Petty Theft Theft:Use Acc Card Info-$950
19-1482,2019-12-11,01:49,2019-12-06,01:30,"Villa Alvarado Apartments, 6161 Alvarado Rd, San Diego",San Diego State University,Petty Theft
19-1484,2019-12-11,07:44,2019-12-11,07:40,"Conrad Prebys Aztec Student Unio, 6075 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
19-1486,2019-12-12,06:02,2019-12-11,05:50,"Parking 3, 5205 East Campus Dr, San Diego",San Diego State University,Burglary
19-1487,2019-12-13,03:04,2019-12-13,02:10,"Parking 4, 5105 East Campus Dr, San Diego",San Diego State University,Vandalism:deface Property
19-1488,2019-12-13,09:17,2019-12-13,09:15,"Eureka, 5140 College Av, San Diego",San Diego State University,Opn Alc Cntnr/City or Cnty Park
19-1489,2019-12-13,00:40,2019-12-13,00:20,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Petty Theft
19-149,2019-02-08,08:49,2019-02-08,09:30,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Shoplift Petty Theft
19-1490,2019-12-14,01:58,2019-12-14,01:58,"Dennys, 6970 Alvarado Rd, San Diego",San Diego State University,DUI Alcohol DUI Alcohol/0.08 Percent
19-1491,2019-12-14,02:32,2019-12-14,02:35,"Oggi's Pizza Express, 6075 Aztec Circle Dr, San Diego",San Diego State University,Poss Controlled Substance-M Possess Narcotic Cntl Sub
19-1494,2019-12-14,02:17,2019-12-14,02:07,"Parking 1, 5355 College Av, San Diego",San Diego State University,Indecent Exposure
19-1495,2019-12-14,09:16,2019-12-14,09:26,"Mts Transit Center, 5260 Campanile Dr, San Diego",San Diego State University,Opn Alc Cntnr/City or Cnty Park
19-1496,2019-12-14,03:44,2019-12-14,03:44,"Parking 1, 5355 College Av, San Diego",San Diego State University,DUI Any Drug
19-1497,2019-12-15,02:14,2019-12-15,02:14,"Flavors Express, 5157 College Av, San Diego",San Diego State University,Conspiracy:commit Crime Burglary
19-1498,2019-12-15,00:17,2019-12-03,08:00,"Flavors Express, 5157 College Av, San Diego",San Diego State University,Burglary:second Degree
19-1499,2019-12-15,03:10,2019-12-14,09:00,"Zura Residence Hall, 6124 Montezuma Rd, San Diego",San Diego State University,Petty Theft
19-15,2019-01-06,00:05,2019-01-06,00:05,"Frat Row, 5255 55TH St, San Diego",San Diego State University,Battery On Person
19-1500,2019-12-15,00:37,2019-12-15,01:05,"University Towers Residence Hall, 5505 Montezuma Rd, San Diego",San Diego State University,Petty Theft
19-1502,2019-12-15,03:35,2019-12-15,01:22,"Students Veterans Organization, 5500 Hardy Av, San Diego",San Diego State University,Deface W/Paint/Etc
19-1506,2019-12-16,01:37,2019-12-16,01:37,"Mts Transit Center, 5260 Campanile Dr, San Diego",San Diego State University,Battery on a Person
19-1507,2019-12-16,04:06,NA,NA,"Cuicacalli Residence Hall, 5150 East Campus Dr, San Diego",San Diego State University,Touch Person Intimately
19-1509,2019-12-16,07:30,2019-12-16,07:30,"Malcolm A Love Library, 5355 Campanile Dr, San Diego",San Diego State University,Obstruct/Resist Exec Off Battery Against Police Officer
19-151,2019-02-08,04:55,NA,NA,"Parking 7, 5100 55TH St, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
19-1510,2019-12-16,03:58,2019-12-16,03:58,"Zura Residence Hall, 6124 Montezuma Rd, San Diego",San Diego State University,Alt/Forge/Etc Driv Lic/Id
19-1511,2019-12-17,01:14,2019-12-17,01:47,"UPD Substation, 6001 Lindo Paseo Av, San Diego",San Diego State University,Outside Agency Warrant
19-1512,2019-12-17,01:14,2019-12-17,00:55,"UPD Substation, 6001 Lindo Paseo Av, San Diego",San Diego State University,Attempted Robbery Threaten Crime w/Intent to Terrorize
19-1513,2019-12-17,03:37,2019-12-17,03:25,"Malcolm A Love Library, 5355 Campanile Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
19-1515,2019-12-18,02:11,2019-12-17,01:40,"Parking 7, 5100 55TH St, San Diego",San Diego State University,Burglary Grnd Thft:prop/Etc $950+
19-1516,2019-12-18,07:41,2019-12-17,07:30,"Chapultepec Residence Hall, 5400 Remington Rd, San Diego",San Diego State University,Petty Theft
19-1517,2019-12-19,09:09,NA,NA,"Parking 7, 5100 55TH St, San Diego",San Diego State University,Tamper With Vehicle
19-1518,2019-12-20,00:31,2019-12-20,00:21,"Mts Transit Center, 5260 Campanile Dr, San Diego",San Diego State University,Assault On Person
19-1519,2019-12-20,02:27,2019-12-20,03:00,"Parking 12, 5530 Aztec Circle Dr, San Diego",San Diego State University,Drive W/O License
19-152,2019-02-08,05:09,NA,NA,"Parking 7, 5100 55TH St, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
19-1520,2019-12-20,06:44,2019-12-20,06:30,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Petty Theft
19-1521,2019-12-21,01:39,2019-12-21,04:16,"4300 Alvarado Canyon Rd, San Diego",San Diego State University,DUI Alcohol DUI Alcohol/0.08 Percent
19-1522,2019-12-21,05:04,2019-12-21,05:17,"Campus Green, 5882 Hardy Av, San Diego",San Diego State University,Violation Of Parole:fel Consume/Poss Open Container-Alcohol
19-1523,2019-12-22,00:39,2019-12-22,01:00,"Adams Humanities, 5305 Campanile Dr, San Diego",San Diego State University,Poss Cntrlld Substnc Paraphernalia
19-1524,2019-12-23,00:50,2019-12-22,02:45,"Student Services Garage, 6065 Aztec Circle Dr, San Diego",San Diego State University,Vehicle Theft
19-1525,2019-12-24,09:27,NA,NA,"Alvarado Research & Professional Ctr 3, 6495 Alvarado Rd, San Diego",San Diego State University,Burglary Attempt Grand Theft: Auto+950 Vandalism ($400 or less) -Misd
19-1526,2019-12-24,00:20,2019-12-24,00:50,"Alvarado Research & Professional Ctr 2, 6505 Alvarado Rd, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
19-1527,2019-12-24,00:41,NA,NA,"Alvarado Research & Professional Ctr 3, 6495 Alvarado Rd, San Diego",San Diego State University,Burglary
19-1528,2019-12-25,09:15,2019-12-25,09:21,"Zura Residence Hall, 6124 Montezuma Rd, San Diego",San Diego State University,Petty Theft
19-1529,2019-12-27,04:23,2019-12-27,04:23,"5500 Hardy Av, San Diego",San Diego State University,"""Flash Incarceration""-Viol of Prob"
19-1530,2019-12-28,02:51,2019-12-28,02:41,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Burglary:second Degree Grnd Thft:prop/Etc $950+ Conspiracy:commit Crime
19-1531,2019-12-30,04:40,2019-12-27,04:20,"Student Services East, 6065 Aztec Circle Dr, San Diego",San Diego State University,Tamper/Etc W/Firealrm/Etc
19-1532,2019-12-30,08:37,2019-12-30,02:10,"M @ College, 5030 College Av, San Diego",San Diego State University,Vandalism ($400 or More)-Fel
19-156,2019-02-09,01:59,NA,NA,"Education And Business Administration, 6040 Aztec Circle Dr, San Diego",San Diego State University,Vandalism:damage Property
19-157,2019-02-09,04:32,2019-02-09,04:32,"UPD Substation, 6001 Lindo Paseo Av, San Diego",San Diego State University,Opn Alc Cntnr/City or Cnty Park
19-158,2019-02-10,02:14,2019-02-10,04:40,"Eureka, 5140 College Av, San Diego",San Diego State University,Disord Conduct:alcohol
19-16,2019-01-06,00:09,NA,NA,"Parking 4, 5105 East Campus Dr, San Diego",San Diego State University,Burglary
19-160,2019-02-11,01:36,2019-02-10,07:36,"Tenochca Residence Hall, 6126 Montezuma Rd, San Diego",San Diego State University,Petty Theft
19-161,2019-02-11,04:09,2019-02-11,04:09,"Eureka, 5140 College Av, San Diego",San Diego State University,Opn Alc Cntnr/City or Cnty Park
19-163,2019-02-11,06:54,2019-02-07,07:00,"Parking 12, 5530 Aztec Circle Dr, San Diego",San Diego State University,Tamper With Vehicle
19-165,2019-02-12,02:59,2019-02-11,03:00,"Student Services East, 6065 Aztec Circle Dr, San Diego",San Diego State University,Vandalism:deface Property
19-166,2019-02-12,02:51,NA,NA,"Parking 17, 6115 Alvarado Rd, San Diego",San Diego State University,Hit&run Prop Damag:locate
19-167,2019-02-12,04:29,2019-02-12,04:50,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Shoplift Petty Theft
19-168,2019-02-12,00:04,2019-02-12,07:30,"Ens, 5320 Campanile Dr, San Diego",San Diego State University,Battery On Person
19-171,2019-02-13,01:28,NA,NA,"North Education, 6025 Aztec Circle Dr, San Diego",San Diego State University,Vandalism:damage Property
19-174,2019-02-14,04:51,2019-02-14,05:00,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Shoplift Petty Theft
19-175,2019-02-14,07:11,2019-02-14,05:10,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
19-177,2019-02-15,05:35,2019-02-14,05:30,"South Art, 5720 Avenue Of Arts, San Diego",San Diego State University,Vandalism:damage Property
19-178,2019-02-15,03:13,2019-02-15,03:13,"Vons Grocery, 6155 El Cajon Bl, San Diego",San Diego State University,Expired Registration
19-18,2019-01-07,00:44,2019-01-07,00:15,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
19-181,2019-02-16,01:00,2019-02-16,01:00,"5800 Montezuma Rd, San Diego",San Diego State University,DUI Alcohol DUI Alcohol/0.08 Percent
19-182,2019-02-16,01:07,2019-02-16,01:07,"70TH St/Mohawk St, San Diego",San Diego State University,Expired Registration
19-183,2019-02-16,03:38,2019-02-16,04:00,"Duress N Ed Ext 34554, 6025 Aztec Circle Dr, San Diego",San Diego State University,Bench Warrant For Fta
19-185,2019-02-16,08:27,2019-02-16,05:00,"Parking 12, 5530 Aztec Circle Dr, San Diego",San Diego State University,Hit&run Prop Damag:notify
19-187,2019-02-17,09:52,2019-02-17,09:52,"Asu Dining Room, 6075 Aztec Circle Dr, San Diego",San Diego State University,Obstruct Public Officer Violation of SDSU Grounds Policy Public Consumption of Alcohol
19-188,2019-02-18,06:41,2019-02-18,07:08,"Cuicacalli Residence Hall, 5150 East Campus Dr, San Diego",San Diego State University,Poss Marj over 28.5 gms 18yrs+
19-189,2019-02-18,08:39,NA,NA,"Education And Business Administration, 6040 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
19-190,2019-02-18,09:15,2019-02-15,09:15,"Black Resource Center, 5723 Lindo Paseo Av, San Diego",San Diego State University,Vandalism:damage Property
19-191,2019-02-18,01:23,2019-02-18,01:35,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
19-192,2019-02-18,02:44,NA,NA,"Adams Humanities, 5305 Campanile Dr, San Diego",San Diego State University,Vandalism ($400 or less) -Misd
19-193,2019-02-18,04:17,2019-02-17,01:22,"Viejas Arena, 5315 55TH St, San Diego",San Diego State University,Petty Theft
19-194,2019-02-18,04:17,2019-02-18,02:00,"Viejas Arena, 5315 55TH St, San Diego",San Diego State University,Burglary Conspiracy:commit Crime Vandalism ($400 or less) -Misd
19-196,2019-02-19,02:34,2019-02-19,02:15,"Hepner Hall, 5405 Campanile Dr, San Diego",San Diego State University,Petty Theft
19-197,2019-02-19,03:42,NA,NA,"Administration, 5375 Campanile Dr, San Diego",San Diego State University,Vandalism ($400 or less) -Misd
19-198,2019-02-19,04:21,2018-12-10,02:40,"Zura Residence Hall, 6124 Montezuma Rd, San Diego",San Diego State University,Petty Theft
19-199,2019-02-19,04:32,2019-02-19,05:00,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Shoplift
19-20,2019-01-07,09:30,NA,NA,"Adams Humanities, 5305 Campanile Dr, San Diego",San Diego State University,Get Credit/Etc. Other's ID(Fel) Grnd Thft:prop/Etc $950+
19-200,2019-02-19,07:17,2019-02-19,06:45,"Hepner Hall, 5405 Campanile Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+ Vandalism ($400 or less) -Misd
19-202,2019-02-20,04:09,2019-02-20,04:33,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Shoplift
19-203,2019-02-20,04:34,2019-02-20,03:44,"Conrad Prebys Aztec Student Union, 6075 Aztec Circle Dr, San Diego",San Diego State University,Battery On Person
19-204,2019-02-20,00:09,2019-02-20,00:30,"College Av/Montezuma Rd, San Diego",San Diego State University,Robbery -Other Agency Assist
19-205,2019-02-21,00:11,2019-02-16,05:00,"Parking 1, 5355 College Av, San Diego",San Diego State University,Tamper With Vehicle Petty Theft
19-206,2019-02-21,07:14,2019-02-21,07:00,"Parking 12, 5530 Aztec Circle Dr, San Diego",San Diego State University,Tamper With Vehicle Petty Theft
19-207,2019-02-21,08:55,2019-02-21,09:01,"Parking 7, 5100 55TH St, San Diego",San Diego State University,Carry Conceald Dirk/Dagger Pos Wpn/Etc:cmpus: Not Gun-Fel Petty Theft
19-208,2019-02-21,02:20,2019-02-21,02:00,"Malcolm A Love Library, 5355 Campanile Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
19-21,2019-01-08,03:57,2019-01-05,08:00,"Toltec Apartments, 5460 55TH St, San Diego",San Diego State University,Petty Theft
19-211,2019-02-21,08:39,2019-02-21,06:50,"Parking 1, 5355 College Av, San Diego",San Diego State University,Grnd Thft:prop/Etc $950-
19-212,2019-02-22,01:18,NA,NA,"5500 El Cajon Bl, San Diego",San Diego State University,Expired Registration
19-213,2019-02-22,05:06,2019-02-14,00:00,"Zura Residence Hall, 6124 Montezuma Rd, San Diego",San Diego State University,Petty Theft
19-214,2019-02-22,07:08,2019-02-17,06:00,"Parking 4, 5105 East Campus Dr, San Diego",San Diego State University,Burglary Vandalism ($400 or More)-Fel Petty Theft
19-217,2019-02-23,03:12,2019-02-23,04:54,"5100 Campanile Dr, San Diego",San Diego State University,DUI Alcohol DUI Alcohol/0.08 Percent
19-218,2019-02-23,04:24,2019-02-23,01:15,"5062 Faber Wy, San Diego",San Diego State University,Robbery -Other Agency Assist
19-22,2019-01-08,08:49,2019-01-08,08:30,"Parking 12, 5530 Aztec Circle Dr, San Diego",San Diego State University,Asslt w/Deadly Weapon:Not Firearm
19-220,2019-02-24,00:03,2019-02-24,00:03,"Montezuma Rd/East Campus Dr, San Diego",San Diego State University,Drive W/License Suspended
19-221,2019-02-24,06:17,2019-02-24,06:17,"University Towers Residence Hall, 5505 Montezuma Rd, San Diego",San Diego State University,Appropr Lost Prop
19-222,2019-02-24,09:07,2019-02-24,09:07,"5273 Stone Ct, San Diego",San Diego State University,Auto Theft - Other Agency Assist
19-223,2019-02-25,08:33,2019-02-24,00:30,"Engineering, 5925 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
19-224,2019-02-25,02:28,2019-02-25,02:52,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Shoplift
19-226,2019-02-25,05:54,2019-02-25,06:21,"East Commons Convenience Store, 5965 Aztec Circle Dr, San Diego",San Diego State University,Shoplift
19-227,2019-02-25,06:13,2019-02-24,03:50,"Malcolm A Love Library, 5355 Campanile Dr, San Diego",San Diego State University,Petty Theft
19-23,2019-01-10,08:01,2019-01-10,08:01,"Mts Transit Center, 5260 Campanile Dr, San Diego",San Diego State University,Vandalism ($400 or less) -Misd
19-231,2019-02-26,06:37,2019-02-26,07:15,"Peterson Gym, 5340 55TH St, San Diego",San Diego State University,Poss Controlled Substance-M Poss Cntrlld Substnc Paraphernalia
19-232,2019-02-26,01:23,2019-02-26,00:50,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Shoplift
19-234,2019-02-26,05:48,2019-02-26,05:25,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Shoplift
19-236,2019-02-26,06:38,2019-02-22,07:00,"Malcolm A Love Library, 5355 Campanile Dr, San Diego",San Diego State University,Petty Theft
19-237,2019-02-26,08:58,2019-02-26,08:10,"University Towers Residence Hall, 5505 Montezuma Rd, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
19-239,2019-02-27,01:22,2019-02-27,01:22,"Substation, 6001 Lindo Paseo Av, San Diego",San Diego State University,Contempt Disoby Crt Order
19-240,2019-02-27,01:22,2019-02-27,01:41,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Shoplift
19-243,2019-02-28,01:01,2019-02-28,00:35,"Montezuma RD/55TH, San Diego",San Diego State University,Robbery -Other Agency Assist
19-244,2019-02-28,09:33,2019-02-28,09:54,"Kappa Delta Sorority, 5066 College Av, San Diego",San Diego State University,Disord Conduct:u Inf Drug
19-246,2019-02-28,04:31,2019-02-28,04:31,"Parking 3, 5205 East Campus Dr, San Diego",San Diego State University,Smoke/Ingest Marij Public Place
19-249,2019-02-28,00:34,2019-02-26,02:30,"Hardy Memorial Tower, 5450 Campanile Dr, San Diego",San Diego State University,Petty Theft
19-250,2019-02-28,02:23,2019-02-28,02:23,"5800 Montezuma Rd, San Diego",San Diego State University,DUI Alcohol DUI Alcohol/0.08 Percent Drive Wrong Way:div Hwy Obstruct Public Officer
19-254,2019-03-01,06:46,2019-03-01,06:46,"Geology Mathematics Computer Sciences, 6000 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
19-255,2019-03-01,07:11,2019-03-01,07:11,"El Cajon Bl/Seminole Dr, San Diego",San Diego State University,Drive W/O License Expired Registration
19-258,2019-03-01,02:12,2019-03-01,02:12,"Montezuma Rd/Rockford Dr, San Diego",San Diego State University,"Mfg/import/sale/poss of billy, blackjack, sandbag, san Mfg/import/sale/poss of billy, blackjack, sandbag, san Drive W/License Suspended"
19-26,2019-01-11,00:54,2019-01-11,00:54,"55TH St/Montezuma Rd, San Diego",San Diego State University,Drive W/License Suspended
19-261,2019-03-02,01:27,2019-03-02,01:20,"5153 63RD St, San Diego",San Diego State University,Battery-Other Agnecy Assist
19-263,2019-03-03,00:31,2019-03-03,00:26,"6100 Montezuma Rd, San Diego",San Diego State University,Drive Wrong Way:div Hwy
19-265,2019-03-03,08:17,2019-03-03,02:30,"Exercise And Nutritional Sciences, 5320 Campanile Dr, San Diego",San Diego State University,Hit&run Prop Damag:locate
19-266,2019-03-03,03:56,2019-03-03,04:22,"Cuicacalli Walk, San Diego",San Diego State University,Attempted Petty Theft
19-267,2019-03-03,08:16,2019-03-03,08:16,"Starbucks Coffee At Asu, 6075 Aztec Circle Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+ Vandalism ($400 or More)-Fel
19-268,2019-03-04,03:03,2019-03-04,02:45,"Exercise And Nutritional Sciences, 5320 Campanile Dr, San Diego",San Diego State University,Petty Theft
19-269,2019-03-04,09:54,2019-03-04,09:54,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Obstruct Public Officer
19-27,2019-01-11,04:14,2019-01-11,04:10,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Petty Theft
19-271,2019-03-01,08:27,2019-02-19,06:30,"Starbucks Coffee At Asu, 6075 Aztec Circle Dr, San Diego",San Diego State University,Burglary Theft:Use Acc Card Info $950+
19-273,2019-03-05,00:58,2019-03-05,01:19,"Viejas Arena, 5315 55TH St, San Diego",San Diego State University,Disord Conduct:u Inf Drug
19-274,2019-03-05,02:07,2019-03-05,02:25,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Shoplift
19-276,2019-03-05,02:09,2019-03-05,02:09,"Parking 4, 5105 East Campus Dr, San Diego",San Diego State University,Contempt:disobey Crt Ordr
19-277,2019-03-06,01:14,2019-03-06,01:14,"Trujillos Taco Shop, 5119 College Av, San Diego",San Diego State University,Battery-Other Agnecy Assist
19-279,2019-03-06,01:47,2019-03-06,01:57,"Mts Transit Center, 5260 Campanile Dr, San Diego",San Diego State University,Disord Conduct:alcohol
19-28,2019-01-11,05:18,NA,NA,"Professional Studies And Fine Arts, 5715 Avenue Of Arts, San Diego",San Diego State University,Petty Theft
19-280,2019-03-06,04:19,2019-03-06,04:33,"Adams Humanities, 5305 Campanile Dr, San Diego",San Diego State University,Attempted Petty Theft
19-282,2019-03-07,00:29,2019-03-01,06:00,"Starbucks Coffee At College Square, 6001 Lindo Paseo Av, San Diego",San Diego State University,Burglary Theft:Use Acc Card Info-$950
19-283,2019-03-07,01:50,2019-03-07,01:25,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Shoplift Petty Theft
19-284,2019-03-07,06:05,2019-03-07,05:45,"Parking 1, 5355 College Av, San Diego",San Diego State University,Petty Theft
19-286,2019-03-08,03:01,2018-03-09,02:55,"South Campus Plaza North, 5140 College Av, San Diego",San Diego State University,Unauthorized Entry/etc Non-Comm Dwelling
19-288,2019-03-08,03:51,2019-03-08,03:51,"Adams Av/College Av, San Diego",San Diego State University,Evading Peace Officer Drive W/License Suspended
19-29,2019-01-11,09:52,2019-01-10,07:15,"Parking 16, 6000 Canyon Crest Dr, San Diego",San Diego State University,Petty Theft
19-291,2019-03-10,01:35,2019-03-10,01:45,"Mts Transit Center, 5260 Campanile Dr, San Diego",San Diego State University,Disord Conduct:alcohol
19-292,2019-03-10,02:05,2019-03-10,02:07,"7-ELEVEN, 5141 College Av, San Diego",San Diego State University,Drive W/O License Expired Registration
19-293,2019-03-10,00:10,2019-03-02,01:00,"Viejas Arena, 5315 55TH St, San Diego",San Diego State University,Petty Theft
19-294,2019-03-10,01:29,2019-03-10,00:00,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Petty Theft
19-297,2019-03-11,05:40,NA,NA,"The Pride Center, 5141 Campanile Dr, San Diego",San Diego State University,Annoying Repeat Calls:res
19-298,2019-03-11,06:25,2019-03-11,05:30,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Petty Theft
19-30,2019-01-12,03:16,2017-09-01,08:00,"Tenochca Residence Hall, 6126 Montezuma Rd, San Diego",San Diego State University,Rape By Force/Fear/Etc
19-303,2019-03-12,09:38,2019-03-10,01:30,"Aztec Recreation Center, 5335 55TH St, San Diego",San Diego State University,Petty Theft
19-305,2019-03-13,02:53,2019-03-13,01:17,"East Commons Convenience Store, 5965 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft
19-306,2019-03-14,01:06,2019-03-14,01:06,"Parking 6, 5585 Hardy Av, San Diego",San Diego State University,Arson:property Possess Arson Material
19-307,2019-03-14,01:43,2019-03-14,01:43,"Aztec Shops Bookstore, 5975 Aztec Circle Dr, San Diego",San Diego State University,Petty Theft Shoplift
19-308,2019-03-14,02:14,2019-03-14,02:00,"Piedra Del Sol Apartments, 5600 Hardy Av, San Diego",San Diego State University,Arson:inhabited Structure Possess Arson Material
19-31,2019-01-13,00:19,2019-01-13,00:25,"Montezuma RD/55TH, San Diego",San Diego State University,Drive W/O License
19-310,2019-03-14,05:53,2019-03-14,03:30,"Extended Studies Center, 5701 Hardy Av, San Diego",San Diego State University,Petty Theft
19-312,2019-03-14,02:33,2019-03-14,02:30,"Malcolm A Love Library, 5355 Campanile Dr, San Diego",San Diego State University,Grnd Thft:prop/Etc $950+
19-313,2019-03-14,03:17,2019-03-14,05:15,"Aztec Recreattion Center, 5335 55TH Street, San Diego",San Diego State University,Petty Theft
19-315,2019-03-15,06:33,2019-03-15,06:30,"Parking 17A, 6115 Alvarado Rd, San Diego",San Diego State University,Burglary
19-318,2019-03-15,01:48,2019-03-15,01:30,"Parking 1, 5355 College Av, San Diego",San Diego State University,Petty Theft
19-319,2019-03-15,02:16,2019-03-15,01:30,"Parking 1, 5355 College Av, San Diego",San Diego State University,Burglary
