year,university,sector_desc,sector_cd,noncampus_weapon,noncampus_drug,noncampus_liquor,oncampus_weapon,oncampus_drug,oncampus_liquor,publicproperty_weapon,publicproperty_drug,publicproperty_liquor,reported_weapon,reported_drug,reported_liquor,residencehall_weapon,residencehall_drug,residencehall_liquor
2017,Emory University,"Private nonprofit, 4-year or above",2,0,0,0,0,36,143,0,0,0,0,0,0,0,36,142
2017,Ferrum College,"Private nonprofit, 4-year or above",2,0,0,0,0,29,29,0,0,1,0,0,0,0,29,29
2017,Florida Atlantic University,"Public, 4-year or above",1,0,0,0,4,122,53,0,0,0,0,0,0,3,70,47
2017,Florida International University,"Public, 4-year or above",1,0,0,0,0,81,100,0,0,1,0,0,0,0,65,98
2017,Florida State University,"Public, 4-year or above",1,0,0,0,0,1,388,0,0,0,0,0,0,0,1,388
2017,Hampden-Sydney College,"Private nonprofit, 4-year or above",2,0,7,0,0,37,69,0,0,1,0,0,0,0,25,54
2017,Indiana University-Bloomington,"Public, 4-year or above",1,0,6,8,0,240,831,0,13,8,0,0,0,0,144,809
2017,James Madison University,"Public, 4-year or above",1,0,0,1,0,85,684,0,0,1,0,0,0,0,53,646
2017,Louisiana State University and Agricultural & Mechanical College,"Public, 4-year or above",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017,Marshall University,"Public, 4-year or above",1,0,0,0,1,12,45,0,0,0,0,0,0,1,7,43
2017,Michigan State University,"Public, 4-year or above",1,0,0,0,8,528,832,0,0,0,0,0,0,8,528,830
2017,Monmouth University,"Private nonprofit, 4-year or above",2,0,0,0,1,17,72,0,0,0,0,0,0,1,17,72
2017,Murray State University,"Public, 4-year or above",1,0,0,0,0,6,29,0,0,0,0,0,0,0,5,29
2017,North Carolina Central University,"Public, 4-year or above",1,0,2,0,5,229,23,0,3,0,0,0,0,4,164,12
2017,North Carolina State University at Raleigh,"Public, 4-year or above",1,1,2,21,0,73,274,0,0,0,0,0,0,0,50,225
2017,Ohio State University-Main Campus,"Public, 4-year or above",1,0,7,20,0,313,1844,0,0,1,0,0,0,0,225,1821
2017,Ohio University-Main Campus,"Public, 4-year or above",1,0,0,3,0,43,253,0,0,0,0,0,0,0,37,252
2017,Prairie View A & M University,"Public, 4-year or above",1,0,1,1,0,101,14,0,0,0,0,0,0,0,97,13
