incident,case_number,date_reported,time_reported,university,time_occurred,date_occurred,location
Theft                       ,2015-00012261,09-02-2015,1:11,Ball State University,NA,NA,NA
Leaving Accident Scene      ,2015-00012299,09-02-2015,1:22,Ball State University,NA,NA,NA
Theft                       ,2015-00012331,09-03-2015,9:48,Ball State University,NA,NA,NA
Theft                       ,2015-00012348,09-03-2015,4:34,Ball State University,NA,NA,NA
Intoxicated Person          ,2015-00012362,09-03-2015,9:59,Ball State University,NA,NA,NA
Narcotics                   ,2015-00012358,09-03-2015,9:11,Ball State University,NA,NA,NA
Intoxicated Driver          ,2015-00012360,09-03-2015,9:40,Ball State University,NA,NA,NA
Theft                       ,2015-00012390,09-04-2015,7:55,Ball State University,NA,NA,NA
Narcotics                   ,2015-00012462,09-05-2015,2:00,Ball State University,NA,NA,NA
Intoxicated Person          ,2015-00012466,09-05-2015,3:18,Ball State University,NA,NA,NA
Sexual Battery              ,2015-00012519,09-06-2015,2:24,Ball State University,NA,NA,NA
Battery                     ,2015-00012521,09-06-2015,2:34,Ball State University,NA,NA,NA
Sexual Assault              ,2015-00012534,09-06-2015,4:00,Ball State University,NA,NA,NA
Harrassment                 ,2015-00012569,09-07-2015,2:26,Ball State University,NA,NA,NA
Resisted Law Enforcement    ,2015-00012593,09-08-2015,1:40,Ball State University,NA,NA,NA
Sexual Assault              ,2015-00012611,09-08-2015,1:46,Ball State University,NA,NA,NA
Accident Hit and Run        ,2015-00012613,09-08-2015,2:30,Ball State University,NA,NA,NA
Suspicious Person           ,2015-00012638,09-08-2015,0:51,Ball State University,NA,NA,NA
Security Check              ,2015-00012644,09-08-2015,3:35,Ball State University,NA,NA,NA
Suspicious Person           ,2015-00012643,09-09-2015,0:01,Ball State University,NA,NA,NA
Assist                      ,2015-00012648,09-09-2015,2:07,Ball State University,NA,NA,NA
Theft                       ,2015-00012664,09-09-2015,1:15,Ball State University,NA,NA,NA
Suspicious Person           ,2015-00012671,09-09-2015,2:10,Ball State University,NA,NA,NA
911 Hang Up                 ,2015-00012684,09-09-2015,6:35,Ball State University,NA,NA,NA
Assist                      ,2015-00012692,09-09-2015,8:37,Ball State University,NA,NA,NA
Security Check              ,2015-00012704,09-09-2015,1:37,Ball State University,NA,NA,NA
Accident Property Damage    ,2015-00012706,09-09-2015,2:46,Ball State University,NA,NA,NA
Suspicious Person           ,2015-00012707,09-10-2015,0:53,Ball State University,NA,NA,NA
Theft                       ,2015-00012734,09-10-2015,0:47,Ball State University,NA,NA,NA
Criminal Mischief           ,2015-00012738,09-10-2015,1:44,Ball State University,NA,NA,NA
Accident Hit and Run        ,2015-00012754,09-10-2015,5:23,Ball State University,NA,NA,NA
Theft                       ,2015-00012763,09-10-2015,8:30,Ball State University,NA,NA,NA
Criminal Mischief           ,2015-00012767,09-10-2015,9:20,Ball State University,NA,NA,NA
Welfare Check               ,2015-00012777,09-10-2015,0:48,Ball State University,NA,NA,NA
Traffic Stop (OWI)          ,2015-00012784,09-11-2015,2:30,Ball State University,NA,NA,NA
Intoxicated Person          ,2015-00012793,09-11-2015,4:40,Ball State University,NA,NA,NA
Theft                       ,2015-00012821,09-11-2015,6:25,Ball State University,NA,NA,NA
Intoxicated Person          ,2015-00012853,09-11-2015,2:23,Ball State University,NA,NA,NA
Assist                      ,2015-00012855,09-11-2015,3:09,Ball State University,NA,NA,NA
Theft                       ,2015-00012861,09-12-2015,1:05,Ball State University,NA,NA,NA
Intoxicated Person          ,2015-00012862,09-12-2015,1:17,Ball State University,NA,NA,NA
Attempted Residential Entry ,2015-00012871,09-12-2015,3:55,Ball State University,NA,NA,NA
Traffic Stop (OWI)          ,2015-00012923,09-13-2015,0:08,Ball State University,NA,NA,NA
Narcotics                   ,2015-00012965,09-13-2015,7:09,Ball State University,NA,NA,NA
Theft                       ,2015-00012966,09-13-2015,7:29,Ball State University,NA,NA,NA
Narcotics                   ,2015-00012982,09-13-2015,1:45,Ball State University,NA,NA,NA
Theft                       ,2015-00012996,09-14-2015,7:12,Ball State University,NA,NA,NA
Theft                       ,2015-00013002,09-14-2015,9:14,Ball State University,NA,NA,NA
Theft                       ,2015-00013014,09-14-2015,2:15,Ball State University,NA,NA,NA
Criminal Mischief           ,2015-00013017,09-14-2015,3:25,Ball State University,NA,NA,NA
Harrassment                 ,2015-00013034,09-14-2015,8:03,Ball State University,NA,NA,NA
Theft                       ,2015-00013040,09-14-2015,0:23,Ball State University,NA,NA,NA
Theft                       ,2015-00013066,09-15-2015,1:10,Ball State University,NA,NA,NA
Theft                       ,2015-00013071,09-15-2015,2:58,Ball State University,NA,NA,NA
Narcotics                   ,2015-00013104,09-15-2015,3:13,Ball State University,NA,NA,NA
Theft                       ,2015-00013117,09-16-2015,8:53,Ball State University,NA,NA,NA
Battery                     ,2015-00013151,09-16-2015,8:04,Ball State University,NA,NA,NA
NA,NA,NA,NA,Ball State University,NA,NA,NA
Theft                     ,2015-00013154,09-16-2015,8:28,Ball State University,NA,NA,NA
Leaving Scene of Accident ,2015-00013201,09-17-2015,3:00,Ball State University,NA,NA,NA
Criminal Mischief         ,2015-00013211,09-17-2015,5:42,Ball State University,NA,NA,NA
Narcotics                 ,2015-00013281,09-18-2015,2:22,Ball State University,NA,NA,NA
Theft                     ,2015-00013341,09-19-2015,5:05,Ball State University,NA,NA,NA
Theft                     ,2015-00013345,09-19-2015,9:14,Ball State University,NA,NA,NA
Narcotics                 ,2015-00013344,09-19-2015,9:21,Ball State University,NA,NA,NA
Theft                     ,2015-00013347,09-19-2015,9:41,Ball State University,NA,NA,NA
Resisting Law Enforcement ,2015-00013363,09-20-2015,1:24,Ball State University,NA,NA,NA
Criminal Mischief         ,2015-00013368,09-20-2015,2:20,Ball State University,NA,NA,NA
Theft                     ,2015-00013380,09-20-2015,5:21,Ball State University,NA,NA,NA
Theft                     ,2015-00013391,09-20-2015,2:00,Ball State University,NA,NA,NA
Criminal Mischief         ,2015-00013393,09-20-2015,3:59,Ball State University,NA,NA,NA
Theft                     ,2015-00013420,09-21-2015,8:51,Ball State University,NA,NA,NA
Criminal Mischief         ,2015-00013432,09-21-2015,2:38,Ball State University,NA,NA,NA
Theft from Vehicle        ,2015-00013509,09-22-2015,4:21,Ball State University,NA,NA,NA
Theft from Vehicle        ,2015-00013510,09-22-2015,4:25,Ball State University,NA,NA,NA
Assist                    ,2015-00013536,09-23-2015,0:50,Ball State University,NA,NA,NA
Theft from Vehicle        ,2015-00013485,09-22-2015,4:28,Ball State University,NA,NA,NA
Theft from Vehicle        ,2015-00013554,09-23-2015,1:27,Ball State University,NA,NA,NA
Theft - Bicycle           ,2015-00013672,09-25-2015,0:15,Ball State University,NA,NA,NA
Theft - Bicycle           ,2015-00013674,09-25-2015,0:35,Ball State University,NA,NA,NA
Criminal Mischief         ,2015-00013700,09-25-2015,6:43,Ball State University,NA,NA,NA
Fraud                     ,2015-00013702,09-25-2015,7:21,Ball State University,NA,NA,NA
Narcotics                 ,2015-00013711,09-25-2015,0:45,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00013722,09-26-2015,0:14,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00013752,09-26-2015,0:34,Ball State University,NA,NA,NA
Battery                   ,2015-00013780,09-27-2015,0:43,Ball State University,NA,NA,NA
Vehicle Theft             ,2015-00013790,09-27-2015,5:03,Ball State University,NA,NA,NA
Criminal Mischief         ,2015-00013850,09-28-2015,0:55,Ball State University,NA,NA,NA
Theft - Bicycle           ,2015-00013852,09-28-2015,0:56,Ball State University,NA,NA,NA
Theft - Bicycle           ,2015-00013854,09-28-2015,9:20,Ball State University,NA,NA,NA
Theft - Bicycle           ,2015-00013868,09-28-2015,1:00,Ball State University,NA,NA,NA
Assist                    ,2015-00013887,09-29-2015,0:32,Ball State University,NA,NA,NA
Vehicle Theft             ,2015-00013911,09-29-2015,5:00,Ball State University,NA,NA,NA
Criminal Mischief         ,2015-00013934,09-29-2015,1:24,Ball State University,NA,NA,NA
Theft                     ,2015-00013990,09-30-2015,1:31,Ball State University,NA,NA,NA
Unlawful Entry to Vehicle ,2015-00013994,09-30-2015,2:35,Ball State University,NA,NA,NA
Theft - Vehicle           ,2015-00014015,10-01-2015,9:25,Ball State University,NA,NA,NA
Narcotics                 ,2015-00014064,10-01-2015,1:26,Ball State University,NA,NA,NA
Narcotics                 ,2015-00014070,10-01-2015,3:32,Ball State University,NA,NA,NA
Narcotics                 ,2015-00014072,10-01-2015,3:52,Ball State University,NA,NA,NA
Criminal Mischief         ,2015-00014079,10-02-2015,2:24,Ball State University,NA,NA,NA
Intoxicated Person        ,2015-00014150,10-03-2015,0:27,Ball State University,NA,NA,NA
Assist Other Agency       ,2015-00014155,10-03-2015,1:46,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00014156,10-03-2015,2:13,Ball State University,NA,NA,NA
Assist Other Agency       ,2015-00014157,10-03-2015,2:17,Ball State University,NA,NA,NA
Vehicle Accident          ,2015-00014158,10-03-2015,2:33,Ball State University,NA,NA,NA
Theft from Vehicle        ,2015-00014191,10-03-2015,6:59,Ball State University,NA,NA,NA
Intoxicated Person        ,2015-00014207,10-04-2015,0:36,Ball State University,NA,NA,NA
Criminal Mischief         ,2015-00014210,10-04-2015,1:31,Ball State University,NA,NA,NA
Intimidation              ,2015-00014214,10-04-2015,2:06,Ball State University,NA,NA,NA
Intoxicated Person        ,2015-00014216,10-04-2015,2:22,Ball State University,NA,NA,NA
Mischief                  ,2015-00014237,10-04-2015,2:56,Ball State University,NA,NA,NA
Theft                     ,2015-00014243,10-04-2015,4:36,Ball State University,NA,NA,NA
Assist Other Agency       ,2015-00014253,10-04-2015,8:20,Ball State University,NA,NA,NA
Mischief                  ,2015-00014258,10-04-2015,0:13,Ball State University,NA,NA,NA
Assist Other Agency       ,2015-00014268,10-04-2015,3:37,Ball State University,NA,NA,NA
Theft                     ,2015-00014277,10-05-2015,8:12,Ball State University,NA,NA,NA
Criminal Mischief         ,2015-00014293,10-05-2015,2:43,Ball State University,NA,NA,NA
Battery                   ,2015-00014325,10-05-2015,2:50,Ball State University,NA,NA,NA
Speak to Officer          ,2015-00014373,10-07-2015,0:47,Ball State University,NA,NA,NA
Theft                     ,2015-00014400,10-07-2015,3:27,Ball State University,NA,NA,NA
Harassment                ,2015-00014406,10-07-2015,6:22,Ball State University,NA,NA,NA
Theft                     ,2015-00014409,10-07-2015,8:19,Ball State University,NA,NA,NA
Intoxicated Person        ,2015-00014475,10-08-2015,0:13,Ball State University,NA,NA,NA
Battery                   ,2015-00014483,10-08-2015,3:29,Ball State University,NA,NA,NA
Narcotics                 ,2015-00014484,10-09-2015,0:26,Ball State University,NA,NA,NA
Intoxicated Person        ,2015-00014485,10-09-2015,0:42,Ball State University,NA,NA,NA
Narcotics                 ,2015-00014501,10-09-2015,8:23,Ball State University,NA,NA,NA
Property Damage           ,2015-00014512,10-09-2015,2:33,Ball State University,NA,NA,NA
Vehicle Accident          ,2015-00014513,10-09-2015,2:46,Ball State University,NA,NA,NA
Threats                   ,2015-00014527,10-09-2015,5:19,Ball State University,NA,NA,NA
Vehicle Accident          ,2015-00014528,10-09-2015,5:56,Ball State University,NA,NA,NA
Assist Other Agency       ,2015-00014543,10-09-2015,0:00,Ball State University,NA,NA,NA
Narcotics                 ,2015-00014581,10-10-2015,7:10,Ball State University,NA,NA,NA
Assist Other Agency       ,2015-00014588,10-10-2015,2:08,Ball State University,NA,NA,NA
Theft                     ,2015-00014604,10-11-2015,0:51,Ball State University,NA,NA,NA
Intoxicated Person        ,2015-00014618,10-11-2015,9:57,Ball State University,NA,NA,NA
Domestic Disturbance      ,2015-00014641,10-12-2015,4:06,Ball State University,NA,NA,NA
Assist Other Agency       ,2015-00014662,10-13-2015,0:28,Ball State University,NA,NA,NA
Suspicious Activity       ,2015-00014665,10-13-2015,2:21,Ball State University,NA,NA,NA
Theft                     ,2015-00014680,10-13-2015,3:47,Ball State University,NA,NA,NA
Narcotics                 ,2015-00014705,10-13-2015,2:42,Ball State University,NA,NA,NA
Narcotics                 ,2015-00014706,10-13-2015,3:21,Ball State University,NA,NA,NA
Theft                     ,2015-00014718,10-14-2015,7:00,Ball State University,NA,NA,NA
Theft                     ,2015-00014740,10-14-2015,8:00,Ball State University,NA,NA,NA
Harassment                ,2015-00014748,10-14-2015,5:16,Ball State University,NA,NA,NA
Theft                     ,2015-00014749,10-14-2015,4:15,Ball State University,NA,NA,NA
Intoxicated Person        ,2015-00014783,10-15-2015,2:22,Ball State University,NA,NA,NA
Theft                     ,2015-00014797,10-15-2015,9:30,Ball State University,NA,NA,NA
Fraud                     ,2015-00014802,10-15-2015,0:53,Ball State University,NA,NA,NA
Leaving Scene of Accident ,2015-00014813,10-15-2015,2:32,Ball State University,NA,NA,NA
Theft                     ,2015-00014836,10-15-2015,9:20,Ball State University,NA,NA,NA
Mischief                  ,2015-00014839,10-15-2015,0:01,Ball State University,NA,NA,NA
Narcotics                 ,2015-00014850,10-15-2015,1:38,Ball State University,NA,NA,NA
NA,NA,NA,NA,Ball State University,NA,NA,NA
Rape                      ,2015-00014817,10-15-2015,0:00,Ball State University,NA,NA,NA
Battery                   ,2015-00014866,10-16-2015,3:07,Ball State University,NA,NA,NA
Intoxicated Person        ,2015-00014929,10-17-2015,2:10,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00014930,10-17-2015,2:12,Ball State University,NA,NA,NA
Intoxicated Person        ,2015-00014949,10-17-2015,5:20,Ball State University,NA,NA,NA
Theft                     ,2015-00014950,10-17-2015,5:30,Ball State University,NA,NA,NA
Intoxicated Person        ,2015-00014951,10-17-2015,6:09,Ball State University,NA,NA,NA
Theft                     ,2015-00014953,10-17-2015,8:24,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00014954,10-17-2015,8:29,Ball State University,NA,NA,NA
Narcotics                 ,2015-00014961,10-18-2015,0:13,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00014963,10-18-2015,1:01,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00014967,10-18-2015,1:49,Ball State University,NA,NA,NA
Intoxicated Person        ,2015-00014975,10-18-2015,3:15,Ball State University,NA,NA,NA
Criminal Mischief         ,2015-00014992,10-18-2015,3:19,Ball State University,NA,NA,NA
Narcotics                 ,2015-00015021,10-18-2015,3:29,Ball State University,NA,NA,NA
Assist Other Agency       ,2015-00015092,10-20-2015,5:35,Ball State University,NA,NA,NA
Narcotics                 ,2015-00015176,10-21-2015,7:48,Ball State University,NA,NA,NA
Narcotics                 ,2015-00015185,10-21-2015,2:38,Ball State University,NA,NA,NA
Theft                     ,2015-00015240,10-22-2015,9:00,Ball State University,NA,NA,NA
Sexual Assault            ,2015-00015251,10-22-2015,7:00,Ball State University,NA,NA,NA
Narcotics                 ,2015-00015258,10-22-2015,3:36,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00015262,10-23-2015,0:55,Ball State University,NA,NA,NA
Assist Other Agency       ,2015-00015268,10-23-2015,3:31,Ball State University,NA,NA,NA
Criminal Mischief         ,2015-00015294,10-23-2015,1:27,Ball State University,NA,NA,NA
Traffic Stop              ,2015-00015336,10-24-2015,1:12,Ball State University,NA,NA,NA
Assist Other Agency       ,2015-00015339,10-24-2015,2:07,Ball State University,NA,NA,NA
Theft                     ,2015-00015369,10-24-2015,3:01,Ball State University,NA,NA,NA
Mischief                  ,2015-00015382,10-24-2015,6:00,Ball State University,NA,NA,NA
